il numero dei nodi e':100
le condizioni iniziali sono:100
0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	0 256 256 256 256 256 256 253 256 254 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 254 256 256 253 256 256 256 256 253 256 256 256 253 256 253 256 256 256 256 256 253 256 256 253 139 0 256 256 256 256 256 235 256 256 253 256 253 256 256 256 256 254 254 256 253 256 253 256 256 256 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	256 256 256 256 256 256 256 254 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 253 256 256 253 256 256 256 256 254 256 256 256 253 256 253 256 256 256 256 256 212 256 256 253 253 253 256 256 256 256 256 253 256 253 0 256 253 256 256 256 256 253 254 256 253 256 253 256 256 256 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 	63 256 256 256 256 256 256 253 256 254 253 256 256 256 256 256 256 256 151 256 256 256 256 256 256 256 256 52 256 192 256 256 254 256 256 256 256 253 256 256 256 254 256 253 256 256 256 0 50 0 256 256 253 253 0 256 256 256 256 256 0 256 256 253 256 157 256 256 256 256 256 0 256 253 256 253 256 256 256 256 0 253 256 256 256 256 256 256 256 0 256 256 256 256 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 	253 256 256 256 256 256 256 253 256 256 0 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 253 256 256 173 256 256 256 256 0 256 256 256 253 256 254 256 256 256 256 256 254 256 256 0 253 253 256 256 256 256 256 253 256 253 253 256 254 256 256 256 253 253 106 256 253 256 256 256 256 256 256 253 254 256 256 256 256 256 256 256 256 256 256 256 253 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	253 256 256 256 256 256 256 0 256 256 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 253 256 256 253 256 256 256 256 256 256 256 256 253 253 254 256 256 256 256 256 256 256 256 253 256 253 256 256 256 256 256 119 256 0 254 256 253 256 256 256 256 0 253 256 256 256 254 256 256 256 256 254 253 256 0 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 	169 256 256 256 256 256 256 254 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 0 256 253 256 256 256 256 256 256 256 256 256 256 256 256 253 253 256 256 256 256 256 0 256 256 0 254 15 256 256 256 256 256 254 256 245 253 256 0 256 256 256 256 0 0 256 256 256 254 256 256 256 256 254 253 256 256 256 256 256 256 256 253 256 256 256 254 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 	253 256 256 256 256 256 256 253 256 256 0 256 256 256 256 256 256 256 253 256 256 256 256 256 256 256 256 254 256 253 256 256 253 256 256 256 256 253 256 256 256 253 256 253 0 256 256 253 256 0 256 256 253 0 254 256 256 256 256 256 256 256 253 253 256 163 256 256 256 256 253 0 0 51 256 256 256 256 256 256 256 253 256 256 256 256 256 256 256 11 256 256 256 256 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	253 256 256 256 256 256 256 253 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 0 256 256 256 256 256 256 256 256 256 256 256 0 253 253 256 256 256 256 256 254 256 256 253 253 256 256 256 256 256 256 253 256 35 253 256 139 256 256 256 256 0 254 256 256 256 253 256 256 0 256 253 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 	256 256 256 256 256 256 256 253 256 253 253 256 256 256 256 256 256 256 0 256 256 256 256 256 256 256 256 0 256 253 256 256 256 256 256 256 0 253 256 256 256 256 256 254 256 256 256 256 256 0 256 256 0 0 254 256 256 256 256 256 256 256 253 0 256 256 256 256 256 256 232 119 256 256 256 254 256 256 256 256 256 0 256 256 256 256 256 256 256 256 197 256 256 253 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 	253 256 256 256 256 256 256 253 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 0 256 256 18 256 256 256 256 256 256 256 256 253 100 253 256 256 256 256 256 254 256 256 0 0 256 256 256 256 256 256 256 256 253 253 256 253 253 256 256 256 0 0 256 256 256 253 256 256 256 256 256 253 256 256 256 256 256 256 256 0 256 256 256 253 256 256 256 256 256 256 
